rep,learning_rate,epochs,hidden_units,optimizer,loss_function,train_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc_score,train_auc,train_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc_score,test_auc,test_confusion_matrix
0,0.1,5000,"[200, 200, 200]",Adam,binary_crossentropy,0.83942908117752,1.0,0.7615120274914089,0.860248447204969,1.0,-1,"[[ 774   13]
 [ 347 1108]]",0.6933333333333334,1.0,0.1743119266055046,0.2923076923076923,1.0,-1,"[[189   2]
 [ 90  19]]"
0,0.1,5000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.568242640499554,1.0,1.0,0.24018838304552592,1.0,-1,"[[1121  968]
 [   0  153]]",0.9366666666666666,1.0,1.0,0.17391304347826084,1.0,-1,"[[279  19]
 [  0   2]]"
0,0.1,5000,"[200, 200, 200]",SGD,binary_crossentropy,0.756021409455843,1.0,0.7344771241830066,0.7667377398720683,1.0,-1,"[[796 222]
 [325 899]]",0.6766666666666666,1.0,0.12745098039215685,0.2113821138211382,1.0,-1,"[[190   8]
 [ 89  13]]"
0,0.1,5000,"[500, 500, 500]",Adam,binary_crossentropy,0.5249776984834968,1.0,0.9666666666666667,0.09822184589331077,1.0,-1,"[[1119 1063]
 [   2   58]]",0.93,1.0,1.0,0.0,-1,0.0,"[[279  21]
 [  0   0]]"
0,0.1,5000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.8247100802854594,1.0,0.7708333333333334,0.8405679513184584,1.0,-1,"[[ 813   85]
 [ 308 1036]]",0.7266666666666667,1.0,0.19801980198019803,0.3278688524590164,1.0,-1,"[[198   1]
 [ 81  20]]"
0,0.1,5000,"[500, 500, 500]",SGD,binary_crossentropy,0.7408563782337199,1.0,0.6603325415676959,0.7928698752228164,0.9999999999999999,-1,"[[ 549    9]
 [ 572 1112]]",0.5233333333333333,1.0,0.12804878048780488,0.22702702702702707,1.0,-1,"[[136   0]
 [143  21]]"
0,0.1,5000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.8679750223015165,1.0,0.7911079745942131,0.8833727344365642,1.0,-1,"[[ 825    0]
 [ 296 1121]]",0.7166666666666667,1.0,0.18627450980392157,0.3089430894308943,1.0,-1,"[[196   2]
 [ 83  19]]"
0,0.1,5000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.5263157894736842,1.0,1.0,0.1,1.0,-1,"[[1121 1062]
 [   0   59]]",0.9333333333333333,1.0,1.0,0.0909090909090909,1.0,-1,"[[279  20]
 [  0   1]]"
0,0.1,5000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.7408563782337199,1.0,0.8678474114441417,0.6867924528301886,1.0,-1,"[[1024  484]
 [  97  637]]",0.8633333333333333,1.0,0.2222222222222222,0.2807017543859649,1.0,-1,"[[251  13]
 [ 28   8]]"
0,0.1,10000,"[200, 200, 200]",Adam,binary_crossentropy,0.6512042818911686,1.0,0.8228571428571428,0.5249088699878494,1.0,-1,"[[1028  689]
 [  93  432]]",0.8933333333333333,1.0,0.3225806451612903,0.3846153846153846,1.0,-1,"[[258  11]
 [ 21  10]]"
