rep,learning_rate,epochs,hidden_units,optimizer,loss_function,train_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc_score,train_auc,train_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc_score,test_auc,test_confusion_matrix
0,0.1,5000,"[200, 200, 200]",Adam,binary_crossentropy,0.87855871886121,1.0,0.8126377663482733,0.8901408450704225,1.0,-1,"[[ 869   18]
 [ 255 1106]]",0.77,1.0,0.23529411764705882,0.3669724770642202,1.0,-1,"[[211   4]
 [ 65  20]]"
0,0.1,5000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.7153024911032029,1.0,0.6375,0.7780859916782246,0.9999999999999999,-1,"[[ 486    2]
 [ 638 1122]]",0.43333333333333335,1.0,0.12371134020618557,0.22018348623853212,1.0,-1,"[[106   0]
 [170  24]]"
0,0.1,5000,"[200, 200, 200]",SGD,binary_crossentropy,0.7931494661921709,1.0,0.7283437283437283,0.818854694195559,1.0,-1,"[[ 732   73]
 [ 392 1051]]",0.6433333333333333,1.0,0.15126050420168066,0.2517482517482517,1.0,-1,"[[175   6]
 [101  18]]"
0,0.1,5000,"[500, 500, 500]",Adam,binary_crossentropy,0.8407473309608541,1.0,0.8049363057324841,0.8495798319327732,1.0,-1,"[[ 879  113]
 [ 245 1011]]",0.75,1.0,0.2,0.3119266055045872,1.0,-1,"[[208   7]
 [ 68  17]]"
0,0.1,5000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.8282918149466192,1.0,0.8976293103448276,0.8118908382066277,1.0,-1,"[[1029  291]
 [  95  833]]",0.87,1.0,0.2857142857142857,0.3389830508474576,1.0,-1,"[[251  14]
 [ 25  10]]"
0,0.1,5000,"[500, 500, 500]",SGD,binary_crossentropy,0.7624555160142349,1.0,0.679004854368932,0.8073593073593073,1.0,-1,"[[ 595    5]
 [ 529 1119]]",0.5166666666666667,1.0,0.14201183431952663,0.24870466321243523,1.0,-1,"[[131   0]
 [145  24]]"
0,0.1,5000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.8580960854092526,1.0,0.8425531914893617,0.8612440191387559,1.0,-1,"[[939 134]
 [185 990]]",0.83,1.0,0.2631578947368421,0.37037037037037035,1.0,-1,"[[234   9]
 [ 42  15]]"
0,0.1,5000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.8020462633451957,1.0,0.7177677998717127,0.8341408870667164,1.0,-1,"[[ 684    5]
 [ 440 1119]]",0.5966666666666667,1.0,0.16083916083916083,0.2754491017964072,1.0,-1,"[[156   1]
 [120  23]]"
0,0.1,5000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.802491103202847,1.0,0.7361111111111112,0.826833073322933,1.0,-1,"[[ 744   64]
 [ 380 1060]]",0.6333333333333333,1.0,0.14754098360655737,0.24657534246575344,1.0,-1,"[[172   6]
 [104  18]]"
0,0.1,10000,"[200, 200, 200]",Adam,binary_crossentropy,0.8291814946619217,1.0,0.7453580901856764,0.8541033434650457,0.9999999999999999,-1,"[[ 740    0]
 [ 384 1124]]",0.6666666666666666,1.0,0.1935483870967742,0.3243243243243243,1.0,-1,"[[176   0]
 [100  24]]"
