rep,learning_rate,epochs,hidden_units,optimizer,loss_function,train_accuracy,train_precision,train_recall,train_f1_score,train_roc_auc_score,train_auc,train_confusion_matrix,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc_score,test_auc,test_confusion_matrix
0,0.1,5000,"[200, 200, 200]",Adam,binary_crossentropy,0.9425,1.0,0.8333333333333334,0.2247191011235955,1.0,-1,"[[1121   67]
 [   2   10]]",0.9266666666666666,1.0,1.0,0.08333333333333333,1.0,-1,"[[277  22]
 [  0   1]]"
0,0.1,5000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,5000,"[200, 200, 200]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,5000,"[500, 500, 500]",Adam,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,5000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,5000,"[500, 500, 500]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,5000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.8791666666666667,1.0,0.2702702702702703,0.35555555555555557,1.0,-1,"[[1015   37]
 [ 108   40]]",0.8833333333333333,1.0,0.3,0.33962264150943394,1.0,-1,"[[256  14]
 [ 21   9]]"
0,0.1,5000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,5000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,10000,"[200, 200, 200]",Adam,binary_crossentropy,0.94,1.0,1.0,0.12195121951219512,1.0,-1,"[[1123   72]
 [   0    5]]",0.9266666666666666,1.0,1.0,0.08333333333333333,1.0,-1,"[[277  22]
 [  0   1]]"
0,0.1,10000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,10000,"[200, 200, 200]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,10000,"[500, 500, 500]",Adam,binary_crossentropy,0.9466666666666667,1.0,0.6585365853658537,0.45762711864406774,1.0,-1,"[[1109   50]
 [  14   27]]",0.94,1.0,0.7272727272727273,0.4705882352941176,1.0,-1,"[[274  15]
 [  3   8]]"
0,0.1,10000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,10000,"[500, 500, 500]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,10000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.9416666666666667,1.0,1.0,0.16666666666666669,0.9999999999999999,-1,"[[1123   70]
 [   0    7]]",0.9233333333333333,1.0,0.5,0.08,1.0,-1,"[[276  22]
 [  1   1]]"
0,0.1,10000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,10000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[200, 200, 200]",Adam,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[200, 200, 200]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[500, 500, 500]",Adam,binary_crossentropy,0.8941666666666667,1.0,0.2159090909090909,0.23030303030303031,1.0,-1,"[[1054   58]
 [  69   19]]",0.8733333333333333,1.0,0.14285714285714285,0.13636363636363635,0.9999999999999999,-1,"[[259  20]
 [ 18   3]]"
0,0.1,50000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[500, 500, 500]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.9366666666666666,1.0,1.0,0.025641025641025647,1.0,-1,"[[1123   76]
 [   0    1]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,50000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[200, 200, 200]",Adam,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[200, 200, 200]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[500, 500, 500]",Adam,binary_crossentropy,0.9283333333333333,1.0,0.09090909090909091,0.022727272727272728,1.0,-1,"[[1113   76]
 [  10    1]]",0.9133333333333333,1.0,0.0,0.0,1.0,-1,"[[274  23]
 [  3   0]]"
0,0.1,100000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[500, 500, 500]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.8725,1.0,0.28651685393258425,0.39999999999999997,1.0,-1,"[[996  26]
 [127  51]]",0.8733333333333333,1.0,0.3170731707317073,0.40625,1.0,-1,"[[249  10]
 [ 28  13]]"
0,0.1,100000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.1,100000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[200, 200, 200]",Adam,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[200, 200, 200]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[500, 500, 500]",Adam,binary_crossentropy,0.9366666666666666,1.0,1.0,0.025641025641025647,1.0,-1,"[[1123   76]
 [   0    1]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[500, 500, 500]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.9625,1.0,0.9444444444444444,0.6017699115044248,1.0,-1,"[[1121   43]
 [   2   34]]",0.94,1.0,1.0,0.3571428571428571,1.0,-1,"[[277  18]
 [  0   5]]"
0,0.01,5000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,5000,"[1000, 1000, 1000]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[200, 200, 200]",Adam,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[200, 200, 200]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[200, 200, 200]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[500, 500, 500]",Adam,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[500, 500, 500]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[500, 500, 500]",SGD,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
0,0.01,10000,"[1000, 1000, 1000]",Adam,binary_crossentropy,0.9525,1.0,1.0,0.4123711340206185,1.0,-1,"[[1123   57]
 [   0   20]]",0.9333333333333333,1.0,1.0,0.23076923076923078,1.0,-1,"[[277  20]
 [  0   3]]"
0,0.01,10000,"[1000, 1000, 1000]",Adagrad,binary_crossentropy,0.9358333333333333,1.0,1.0,0.0,-1,0.0,"[[1123   77]
 [   0    0]]",0.9233333333333333,1.0,1.0,0.0,-1,0.0,"[[277  23]
 [  0   0]]"
