Vocalbulary,Count
sh,4418
date,3650
tcsh,846
wc,477
gcc,446
driver,374
cfe,354
ugen,331
as1,331
uopt,255
nawk,241
sendmail,230
uname,228
cpp,223
cc1,199
less,198
as,188
ls,146
make,141
ld_,128
rm,113
head,113
efm,113
stty,82
MediaMai,77
grep,76
sed,69
cat,63
a.out,45
ln,43
man,33
tail,32
ld,32
nm,32
col,30
mkdir,28
rsh,27
gdb,25
ftp,25
rmdir,25
xmkmf,24
ddd,24
imake,24
emacs-20,23
hostname,22
mkpts,20
mail,19
true,19
ps,17
frm,15
xrdb,14
unpack,13
find,12
id,12
tr,12
generic,12
more,11
lp,11
getopt,10
twoprint,9
tput,9
FIFO,9
finger,9
movemail,8
egrep,8
whereis,7
dev.post,7
tbl,6
neqn,6
nroff,6
awk,6
Sqpe,5
top,5
tset,5
doc2ps,5
Slmhelpe,5
Slmclien,5
PLATFORM,5
ht,5
xterm,5
whois,4
tar,4
metamail,4
field,4
gs,4
ghostvie,4
sort,3
format.d,3
cut,3
xbiff,2
uniq,2
rlogin,2
touch,2
sgihelp,2
ex,2
dev.moti,1
mailbox,1
help,1
gv,1
xlbiff,1
xemacs-1,1
dvips,1
who,1
pwd,1
virtex,1
resize,1
ar,1
mimencod,1
echo,1
chmod,1
compress,1
test,1
expr,1
zip,1
